-0.34368896,-0.32839966,629.0 424.73334,629.3437 425.06174
-0.35925293,-0.4149475,641.0 502.73334,641.35925 503.1483
-0.4000244,-0.33483887,563.0 486.0,563.4 486.33484
-0.37371826,-0.37445068,545.0 443.0,545.3737 443.37445
-0.140625,-0.24865723,587.9048 412.90475,588.0454 413.1534
-0.8371582,0.013702393,607.0952 455.09525,607.9324 455.08154
-0.06048584,-0.17443848,676.0 427.0,676.0605 427.17444
-0.25909424,-0.7027588,647.5 469.0,647.7591 469.70276
-0.305542,-0.040527344,613.0 449.0,613.30554 449.04053
0.10394287,-0.43215942,640.9048 407.90475,640.80084 408.3369
-0.67297363,-0.33050537,602.0 441.0,602.673 441.3305
-0.78570557,-0.25579834,599.0952 469.09525,599.8809 469.35104
-0.5352173,-0.523468,556.0 465.0,556.5352 465.52347
0.13726807,-0.22650146,560.0 437.0,559.86273 437.2265
-0.3157959,-0.18513489,495.0 214.5,495.3158 214.68513
-0.5437927,-1.0,496.22223 194.0,496.76602 195.0
-0.2838745,0.0,524.0 195.0,524.2839 195.0
-0.31488037,-0.87164307,522.44446 215.22223,522.75934 216.09387
-0.30969238,-0.7376709,810.5 741.5,810.8097 742.2377
-0.47753906,-0.004333496,840.0741 741.37036,840.55164 741.3747
-0.41119385,-0.9310913,842.9048 779.0952,843.316 780.0263
0.027832031,0.29162598,813.0 779.0,812.97217 778.7084
-0.24996948,-0.21124268,325.90475 715.9048,326.15472 716.116
-0.55633545,0.21374512,289.0 701.5,289.55634 701.28625
-0.6638489,-0.23138428,311.0 675.0,311.66385 675.2314
-0.43371582,-0.35516357,346.90475 689.0952,347.33847 689.4504
-0.6913147,-0.02368164,438.09525 576.9048,438.78656 576.92847
-0.480011,0.025054932,475.0 505.0,475.48 504.97495
-0.41326904,0.10003662,530.0 555.26666,530.41327 555.1666
-0.33911133,0.1583252,493.0 627.0,493.3391 626.8417
-0.18127441,-0.17285156,643.0 598.7778,643.1813 598.9506
-0.18017578,-0.16314697,617.9048 608.0952,618.08496 608.25836
-0.14074707,-0.26416016,606.9048 587.9048,607.04553 588.16895
-0.6066284,-0.31103516,631.0952 579.0952,631.70184 579.40625
-0.9489136,-0.075927734,499.0 748.0,499.9489 748.0759
-0.1359253,-0.047546387,432.90475 747.9048,433.04068 747.95233
-0.29263306,-1.0,435.0 697.0,435.29263 698.0
-0.08343506,-0.37036133,499.92593 697.62964,500.00937 698.0
